Player,Class,Level,Equipment Int,Equipment Str,Allocated Int,Allocated Str,Day Bonus,Starting Mana,Projected Dailies and To Dos,Projected Habits
Matthew,Mage,100,91,35,100,0,TRUE,348,14,2
Giselle,Mage,100,104,25,100,0,FALSE,450,10,4
